@relation MultiLabelData


@attribute Att1 numeric
@attribute Att2 numeric
@attribute Att3 numeric
@attribute Att4 numeric
@attribute Att5 numeric
@attribute Att6 numeric
@attribute Att7 numeric
@attribute Att8 numeric
@attribute Att9 numeric
@attribute Att10 numeric
@attribute Att11 numeric
@attribute Att12 numeric
@attribute Att13 numeric
@attribute Att14 numeric
@attribute Att15 numeric
@attribute Att16 numeric
@attribute Att17 numeric
@attribute Att18 numeric
@attribute Att19 numeric
@attribute Att20 numeric
@attribute Att21 numeric
@attribute Att22 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}
@attribute Class7 {0,1}
@attribute Class8 {0,1}
@attribute Class9 {0,1}
@attribute Class10 {0,1}
@attribute Class11 {0,1}
@attribute Class12 {0,1}
@attribute Class13 {0,1}
@attribute Class14 {0,1}
@attribute Class15 {0,1}
@attribute Class16 {0,1}
@attribute Class17 {0,1}
@attribute Class18 {0,1}
@attribute Class19 {0,1}
@attribute Class20 {0,1}
@attribute Class21 {0,1}
@attribute Class22 {0,1}

@data
0.001395,0.166667,0.005579,0.052632,0.082287,0.011158,0.652491,0.083333,0.105263,0.007594,0.105263,0.105263,0.001395,0.005164,0.011111,0.009763,0.144444,0.888889,0.019526,0.020049,0.006987,0.018131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.002532,0.056886,0.086957,0.002899,1,0.171367,0.521739,0.002994,0.118987,0.002899,0.152695,0.028986,0.008889,0.056886,0.008696,0.008889,0.202532,0.214493,0.070886,0.002994,0.008696,0.032934,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000801,0.071257,0.036829,0.000801,0,0,0.040833,0.002402,0.005604,0.000801,1,0.007206,0,0.015212,0.010408,0,0.000801,0.020016,0.001601,0,0.001601,0.007206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.083333,0.591537,0.006908,0.029162,0.011982,0.000911,0.652491,0.042314,0.195853,0.011521,0.083333,0.096313,0.000304,0.006908,0.083333,0.004147,0.047465,0.349635,0.027189,0.020049,0.083333,0.057604,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.052174,0.002513,0,0.939698,0.171367,0.365217,0,0.026087,0,0.043478,0.017391,0,0,0.008696,0.002513,0.5,0.234783,0.043478,0,0.008696,0.034783,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002907,0.075581,0.002907,0.029162,0.402062,0.268041,0.652491,0.041009,0.026163,0.007594,0.087209,0.02339,0.006826,0.005814,0.026446,0.010309,0.464832,0.391736,0.014535,0.020049,0.014535,0.004557,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009934,0.098592,0.036829,0.020121,0.004024,0,0.254967,0.024145,0.02649,0.015152,0.848485,0.030181,0,0.015212,0.010408,0.002012,0.019868,0.549669,0.003311,0,0.016556,0.007206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.119048,0.111111,0.003086,1,0.171367,0.308642,0.009346,0.02381,0,0.785047,0.02381,0.006173,0.009346,0,0.022222,0.354938,0.333333,0.111111,0,0,0.111111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001215,0.051033,0.002126,0.029162,0.212963,0.119454,0.652491,0.041009,0.019745,0.007594,0.024605,0.02339,0.006826,0.005164,0.006987,0.001823,0.464832,0.349635,0.00729,0.020049,0.006987,0.004557,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001215,0.190476,0.047619,0.029162,0.007898,0.000911,1,0.047619,0.095238,0.007594,0.095238,0.047619,0.000304,0.005164,0.047619,0.001823,0.095238,0.349635,0.00729,0.020049,0.006987,0.047619,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018405,0.268293,0.003311,0.625,0.007898,0.000911,0.666667,0.25,0.068966,0.071429,0.122736,0.142857,0.000304,0.013158,0.047619,0.002012,0.034483,0.750326,0.00729,0.159091,0.04878,0.02381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000801,0.119658,0.036829,0.000801,0.028037,0,0.08547,0.009346,0.025641,0.000801,0.832666,0.009346,0,0.015212,0.010408,0.009346,0.000801,0.068376,0.001601,0,0.001601,0.059829,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.002907,0.075581,0.002907,0.005814,0.939698,0.268041,0.375207,0.020349,0.026163,0.002907,0.087209,0.020349,0.006826,0.005814,0.026446,0.010309,0.464832,0.391736,0.014535,0.003306,0.014535,0.005025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.032258,0.349498,0.007707,0.032258,0.011982,0.000836,0.322581,0.032258,0.516129,0.019084,0.071291,0.698473,0,0.011561,0.015207,0.004147,0.047465,0.129032,0.0301,0.003687,0.016129,0.074415,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.007092,0.349498,0.003226,0.029162,0.011982,0.000911,0.652491,0.042553,0.80814,0.051724,0.056856,0.124582,0.000304,0.017241,0.015207,0.018732,0.047465,0.539007,0.0301,0.020049,0.017241,0.074415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000801,0.071257,0.036829,0.000801,0,0,0.040833,0.002402,0.005604,0.000801,0.832666,0.007206,0,0.015212,0.010408,0,0.000801,0.020016,0.001601,0,0.001601,0.007206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.006452,1,0.006908,0.027221,0.016971,0.001305,0.352363,0.042314,0.310201,0.022193,0.142857,0.124582,0,0.006908,0.138889,0.004147,0.167742,0.435539,0.055556,0.016257,0.571429,0.277778,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004386,0.177645,0.004386,0.04918,0.016393,0.000911,0.652491,0.25,0.100877,0.00998,0.205589,0.043912,0.000304,0.067864,0.06986,0.002193,0.138158,0.349635,0.01996,0.065574,0.016393,0.037281,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003454,0.8,0.006908,0.009677,0.011982,0.000864,0.333333,0.08,0.310201,0.02,0.2,0.124582,0,0.006908,0.08,0.004147,0.047465,0.333333,0.0301,0.003687,0.027634,0.074415,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022727,0.545455,0.008596,0.568627,0.011461,0.002865,0.652491,0.25,0.142857,0.022727,0.227273,0.142857,0.000304,0.009615,0.045455,0.002647,0.037429,0.750326,0.012476,0.217391,0.018083,0.015123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003454,0.929825,0.006908,0.014124,0.011982,0.000864,0.234463,0.042314,0.5,0.016575,0.118644,0.124582,0,0.006908,0.017271,0.004147,0.047465,0.115819,0.0301,0.00565,0.027634,0.074415,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006173,0.357143,0.036829,0.012346,0.012346,0,0.269461,0.142857,0.080247,0.018349,0.832666,0.043912,0,0.522936,0.06986,0.001996,0.043912,0.153693,0.01996,0.006173,0.012346,0.012346,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.004386,0.087719,0.004386,0.032902,0.009988,0.000911,1,0.041009,0.100877,0.010576,0.04675,0.049031,0.000304,0.005164,0.012926,0.002938,0.138158,0.750326,0.012926,0.020049,0.006987,0.037628,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.006452,0.387097,0.036829,0.011749,0.016971,0.001305,0.267624,0.024885,0.310201,0.022193,1,0.124582,0,0.015212,0.032258,0.004147,0.167742,0.137076,0.0301,0.005222,0.03871,0.129032,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.003175,0.166667,0.003421,0.013346,0.011307,0.002513,0.383124,0.014648,0.142857,0.125,0.085714,0.166667,0,0.003175,0.004557,0.001953,0.100342,0.791457,0.028571,0.018244,0.028571,0.037628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.002765,0.349498,0.003226,0.019231,0.4,0.007673,0.366862,0.027778,0.80814,0.011521,0.089744,0.124582,0,0.006452,0.015207,0.007752,0.047465,0.796675,0.0301,0.055556,0.016129,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.000801,0.095238,0.055556,0.02381,0.028986,0,0.380952,0.006227,0.119048,0.02381,1,0.03736,0,0.111111,0.02381,0.001245,0.069738,0.285714,0.02381,0.02381,0.001601,0.071429,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.003992,0.177645,0.027397,0.032902,0.024907,0.000911,0.652491,0.041009,0.125,0.010576,0.333333,0.045267,0.000304,0.111111,0.125,0.006842,0.690992,0.697872,0.333333,0.020049,0.037037,0.041096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.058824,0.666667,0.011429,0.125,0.05,0.001305,0.652491,0.278481,0.25,0.083333,0.428571,0.375,0.000304,0.5,0.126582,0.0625,0.117647,0.697872,0.0625,0.020049,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.077348,0.591537,0.027027,0.090909,0.02381,0.000911,0.652491,0.454545,0.654179,0.038674,0.818182,0.25,0.000304,0.033149,0.1,0.043478,1,0.803571,0.055556,0.055556,0.090909,0.057604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.071429,0.242424,0.036829,0.166667,0.048802,0.02381,0.352363,0.071429,0.142857,0.01626,1,0.131579,0.003549,0.067864,0.142857,0.00813,0.076309,0.435539,0.052632,0.016257,0.071429,0.078947,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.001512,0.111111,0.000756,0.027221,0.180851,0.010638,0.6,0.111111,0.061538,0.011236,0.138462,0.038462,0.021277,0.015385,0.111111,0.004255,0.244681,1,0.031915,0.066667,0.008318,0.015123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.002765,0.349498,0.003226,0.013346,0.011982,0.000836,0.366862,0.024885,0.80814,0.011521,0.056856,0.5,0,0.006452,0.015207,0.018732,0.047465,0.750326,0.0301,0.017253,0.016129,0.074415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.004098,0.160839,0.004098,0.081967,0.089256,0.042975,0.404494,0.090909,0.05618,0.011236,0.230769,0.038462,0,0.006993,0.026446,0.004255,0.333333,1,0.022472,0.067623,0.038462,0.015123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.000977,0.025641,0.000326,0.019231,0.029412,0.007673,0.366862,0.038462,0.025641,0.001953,0.089744,0.025641,0,0.002279,0.012821,0.001953,0.039642,0.796675,0.002279,0.017253,0.002279,0.001628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.025,0.6,0.006908,0.075472,0.016971,0.001305,0.652491,0.3,0.310201,0.055556,0.733607,0.124582,0.000304,0.067864,0.137931,0.006842,0.690992,0.750326,0.0301,0.055556,0.1,0.129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02,0.307692,0.008596,0.083333,0.082287,0.013605,0.666667,0.145833,0.100418,0.083333,0.342342,0.083333,0.005277,0.020833,0.027027,0.009763,0.113946,1,0.019526,0.230769,0.038462,0.038462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.003992,0.349498,0.036829,0.083333,0.121519,0.020253,0.428571,0.071429,0.615385,0.083333,0.909091,0.727273,0.008889,0.333333,0.214286,0.068063,0.202532,0.5,0.083333,0.003687,0.016129,0.074415,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.002765,0.333333,0.013158,0.090909,0.089256,0.042975,0.8,0.166667,0.333333,0.043011,0.333333,0.161491,0.000304,0.013158,0.078947,0.004147,0.140496,0.750326,0.027189,0.075,0.016129,0.083551,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.077348,1,0.007707,0.05,0.082287,0.013605,1,0.1,0.384615,0.121212,0.35,1,0.005277,0.067864,0.166667,0.5,0.113946,0.750326,0.027189,0.020049,0.102564,0.153846,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.002765,0.349498,0.021739,0.166667,0.011982,0.000911,0.652491,0.152174,0.310201,0.021739,0.666667,0.698473,0.000304,0.032258,0.021739,0.010204,0.047465,0.349635,0.0301,0.020049,0.166667,0.074415,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002765,0.349498,0.007707,0.15,0.016971,0.001305,0.35,0.026975,0.458333,0.20202,0.625,0.698473,0,0.040404,0.074074,0.05,0.05,0.15,0.0301,0.005222,0.037037,0.153846,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.007194,0.591537,0.169811,0.041667,0.107784,0.002994,0.5,0.166667,0.183246,0.1,0.5,0.166667,0.005988,0.782609,0.2,0.068063,0.110778,0.333333,0.053892,0.002994,0.027634,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.025641,0.4,0.002938,0.055556,0.083333,0.001305,1,0.076923,0.2,0.083333,0.0953,0.166667,0.000304,0.006427,0.125,0.003106,0.043081,0.435539,0.055556,0.020049,0.102564,0.416667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0.733333,0.006908,0.029162,0.024,0.001305,0.652491,0.060606,1,0.030303,0.333333,0.333333,0.000304,0.016667,0.181818,0.018732,0.167742,0.349635,0.25,0.020049,0.138889,0.333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003992,0.181818,0.036829,0.04918,0.016393,0,0.424242,0.166667,0.04918,0.030303,0.9,0.060606,0,0.067864,0.136364,0.001996,0.04918,0.30303,0.01996,0.065574,0.016393,0.007206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.005425,0.349498,0.027397,0.173599,0.024907,0.000911,0.652491,0.5,0.80814,0.021739,0.156912,0.5,0.000304,0.048568,0.021739,0.076923,0.2,0.435539,0.142857,0.117541,0.018083,0.074415,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009709,0.591537,0.036829,0.173599,0.011982,0.000911,0.652491,0.416667,1,0.210526,0.833333,0.333333,0.000304,0.5,1,0.068063,0.047465,0.750326,0.055556,0.117541,0.262857,0.125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.058824,0.333333,0.007707,0.138889,0.130814,0.075581,1,0.235294,1,0.166667,0.6,0.483622,0.003549,0.042553,0.058824,0.076923,0.139535,0.5,0.166667,0.020049,0.016129,0.153846,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011765,0.349498,0.003549,0.074074,0.048802,0.007098,0.5,0.058824,0.310201,0.023529,0.091393,0.166667,0.003549,0.011765,0.018519,0.017857,0.076309,0.529412,1,0.016257,0.055556,0.074415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.002662,0.285714,0.007595,0.032902,0.121519,0.020253,0.652491,0.041009,0.1875,0.010576,0.166667,0.0625,0.008889,0.012658,0.05,0.008889,0.202532,1,0.070886,0.020049,0.008873,0.021295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.004386,0.591537,0.006908,0.1,0.082287,0.013605,0.652491,0.042314,0.654179,0.2,0.35,0.5,0.005277,0.052356,0.058824,1,0.138158,1,0.031414,0.020049,0.125,0.176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.077348,0.349498,0.036829,0.016575,0.011982,0.000836,0.226519,0.038674,0.310201,0.111111,0.833333,0.187845,0,0.033149,0.074074,0.004147,0.047465,0.082873,0.0301,0.005525,0.037037,0.666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.052632,0.105263,0.00114,0.105263,0.012543,0,0.684211,0.166667,0.025086,0.001953,0.030675,0.166667,0,0.006135,0.007982,0.006842,1,1,0.023945,0.017253,0.002279,0.004561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0.009934,0.098592,0.003311,0.043478,0.007898,0.000911,0.857143,0.047619,0.058824,0.019608,0.122736,0.058824,0.000304,0.021739,0.047619,0.002647,0.037429,0.761905,0.019608,0.020049,0.016556,0.015123,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.003454,0.929825,0.006908,0.014124,0.011982,0.000864,0.234463,0.042314,0.310201,0.016575,0.118644,0.124582,0,0.006908,0.017271,0.004147,0.047465,0.115819,0.0301,0.00565,0.027634,0.074415,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000801,0.186813,0.036829,0.000801,0,0,0.040833,0.010989,0.005604,0.000801,0.832666,0.007206,0,0.015212,0.010989,0,0.000801,0.020016,0.001601,0,0.001601,0.007206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.003175,0.034921,0.000326,0.013346,0.029412,0.007673,0.366862,0.014648,0.021739,0.001953,0.085714,0.043478,0,0.003175,0.004557,0.001953,0.039642,1,0.002279,0.017253,0.002279,0.003175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.002994,0.207547,0.036829,0.007098,0.048802,0.007098,0.362275,0.02994,0.166667,0.083333,0.832666,0.052023,0.003549,0.142857,0.022541,0.002994,0.076309,0.461078,0.016859,0.002994,0.01497,0.333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.002611,0.6,0.036829,0.1,0.027027,0.001305,0.3,0.2,0.2,0.022193,1,0.113577,0,0.0625,0.03125,0.001305,0.043081,0.5,0.03125,0.005222,0.1,0.083551,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.000801,0.114754,0.036829,0.002049,0.002049,0,0.084016,0.004098,0.333333,0.002049,0.980198,0.111111,0,0.111111,0.022541,0,0.222222,0.034836,0.009901,0,0.004098,0.007206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.002532,0.028889,0.007595,0.004959,0.121519,0.042975,0.438356,0.01157,0.118987,0.00114,0.075949,0.017778,0.008889,0.012658,0.026446,0.008889,1,0.60274,0.25,0.003306,0.00114,0.006667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.003454,0.765517,0.006908,0.071429,0.011982,0.000911,1,0.043478,0.195853,0.011521,0.478261,0.096313,0.000304,0.006908,0.2,0.004147,0.086957,1,0.027189,0.020049,0.027634,0.057604,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.009934,0.75,0.004098,0.333333,0.007898,0.000911,0.652491,0.5,0.166667,0.030303,0.852273,0.166667,0.000304,0.090909,0.027778,0.002012,0.060606,0.549669,0.00729,0.020049,0.083333,0.004557,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001395,0.1,0.041916,0.006974,0.190476,0.047619,0.5,0.013889,0.48,0.008,0.309524,0.119048,0.005988,0.056886,0.008696,0.013889,0.763889,0.283124,0.2,0.004184,0.008696,0.032934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.001215,0.051033,0.002126,0.029162,0.007898,0.000911,0.652491,0.041009,0.019745,0.007594,0.024605,0.02339,0.000304,0.005164,0.006987,0.001953,0.033414,0.750326,0.00729,0.020049,0.006987,0.004557,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.002532,0.051033,0.007595,0.029162,0.364865,0.027027,1,0.041009,0.118987,0.007594,0.075949,0.02339,0.008889,0.012658,0.007595,0.008889,0.202532,0.349635,0.070886,0.020049,0.006987,0.006667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2,0.05,0.006227,0.06,0.004808,0.302885,0.006227,0.25,0.05,0.211538,0.1,0,0.057803,0.05,0.005236,0.084,0.260274,0.084,0.001245,0,0.811518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.002532,0.092628,0.041916,0.032902,1,0.171367,0.564042,0.032136,0.125,0.010576,0.152695,0.034026,0.057143,0.056886,0.028571,0.022222,0.257143,0.750326,0.208333,0.017253,0.008318,0.032934,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001215,0.085928,0.027397,0.333333,0.024907,0.000911,0.666667,0.333333,0.063512,0.007594,0.156912,0.5,0.000304,0.048568,0.333333,0.001823,0.069738,0.833333,0.013699,0.020049,0.006987,0.041096,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005714,0.5,0.666667,0.034286,0.082287,0.011158,0.368201,0.154286,0.5,0.017143,0.832666,0.5,0.001395,0.015212,0.022857,0.045455,0.104603,0.283124,0.090909,0.004184,0.262857,0.090909,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.006036,0.098592,0.002012,0.027221,0.004537,0,0.366862,0.166667,0.053686,0.008696,0.122736,0.034026,0,0.006427,0.014745,0.004255,0.037429,1,0.012476,0.017253,0.01006,0.015123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
